categories,id_on_platform,full_categories,name,description,product_id,length,width,height,weight,seller_name,lower_threshold,upper_threshold,coefficient,percent,trading_scheme,delivery_location,price,acquiring,fbo_fulfillment_amount,fbo_direct_flow_trans_min_amount,fbo_direct_flow_trans_max_amount,fbo_deliv_to_customer_amount,fbo_return_flow_amount,fbo_return_flow_trans_min_amount,fbo_return_flow_trans_max_amount,fbs_first_mile_min_amount,fbs_first_mile_max_amount,fbs_direct_flow_trans_min_amount,fbs_direct_flow_trans_max_amount,fbs_deliv_to_customer_amount,fbs_return_flow_amount,fbs_return_flow_trans_min_amount,fbs_return_flow_trans_max_amount,sales_percent_fbo,sales_percent_fbs,sales_percent
"Запчасти для смарт-часов, фитнес-браслета",107073132,Miscellaneous accessories/Электропитание Access/Аккумуляторы и батарейки Access/Аккумуляторы,Аккумуляторная батарея для Apple Watch 1 42mm A1803,"Аккумулятор Ni-Mh 4.8V 2400 mAh AA Row разъем SM для радиоуправляемых игрушек.<br/><br/>Ёмкий и эффективный аккумулятор. Саморазряд примерно в 1,5—2 раза выше, чем у никель-кадмиевых аккумуляторов.<br/><br/>Главное, что вам следует знать — сперва полностью разряжайте Ni-Cd и Ni-Mh, а лишь затем подключайте зарядное устройство. Так вы избежите «эффекта памяти» и всегда будете получать полностью работоспособное оборудование после зарядки.<br/><br/>1. Не избавляться от аккумулятора в огне, не помещать аккумулятор в зарядное устройство или оборудование с неправильно подключенными клеммами.<br/><br/>2. Избегайте коротких замыканий батареи. Избегайте чрезмерного физического удара или вибрации, Избегайте избыточной зарядки и разрядки.<br/><br/>3. Никогда не используйте модифицированное или поврежденное зарядное устройство и не оставляйте аккумулятор в зарядном устройстве в течение 24 часов.<br/><br/>4. Храните аккумулятор в прохладном, сухом и хорошо проветриваемом помещении.<br/><br/>аккумулятор для игрушек 4.8v; аккумулятор 4.8v; аккумулятор ni-mh 4.8v 2400 mah aa row разъем sm; аккумулятор ni-mh 4.8v 2400 mah; аккумулятор 4.8v для игрушек.",76215,0.4,0.7,0.5,0.03,Продавец,0,0,0,0,,,812.0000,11,0,0,0,44.66,50,58,58,0,25,70,70,44.66,50,70,70,18.5,19.5,19.5
"Запчасти для смарт-часов, фитнес-браслета",107073133,Miscellaneous accessories/Электропитание Access/Аккумуляторы и батарейки Access/Аккумуляторы,"Аккумуляторная батарея для Apple Watch 2 42mm A1758, A1817","Аккумулятор Ni-Mh 4.8V 2400 mAh AA Row разъем SM для радиоуправляемых игрушек.<br/><br/>Ёмкий и эффективный аккумулятор. Саморазряд примерно в 1,5—2 раза выше, чем у никель-кадмиевых аккумуляторов.<br/><br/>Главное, что вам следует знать — сперва полностью разряжайте Ni-Cd и Ni-Mh, а лишь затем подключайте зарядное устройство. Так вы избежите «эффекта памяти» и всегда будете получать полностью работоспособное оборудование после зарядки.<br/><br/>1. Не избавляться от аккумулятора в огне, не помещать аккумулятор в зарядное устройство или оборудование с неправильно подключенными клеммами.<br/><br/>2. Избегайте коротких замыканий батареи. Избегайте чрезмерного физического удара или вибрации, Избегайте избыточной зарядки и разрядки.<br/><br/>3. Никогда не используйте модифицированное или поврежденное зарядное устройство и не оставляйте аккумулятор в зарядном устройстве в течение 24 часов.<br/><br/>4. Храните аккумулятор в прохладном, сухом и хорошо проветриваемом помещении.<br/><br/>аккумулятор для игрушек 4.8v; аккумулятор 4.8v; аккумулятор ni-mh 4.8v 2400 mah aa row разъем sm; аккумулятор ni-mh 4.8v 2400 mah; аккумулятор 4.8v для игрушек.",76217,0.4,0.7,0.5,0.03,Продавец,0,0,0,0,,,820.0000,11,0,0,0,45.1,50,58,58,0,25,70,70,45.1,50,70,70,18.5,19.5,19.5
Аккумулятор для мобильного телефона,107073134,Miscellaneous accessories/Электропитание Access/Аккумуляторы и батарейки Access/Аккумулятор для мобильного телефона,Аккумуляторная батарея для смарт-часов Samsung SM-V700 Galaxy Gear,"Аккумулятор Ni-Mh 4.8V 2400 mAh AA Row разъем SM для радиоуправляемых игрушек.<br/><br/>Ёмкий и эффективный аккумулятор. Саморазряд примерно в 1,5—2 раза выше, чем у никель-кадмиевых аккумуляторов.<br/><br/>Главное, что вам следует знать — сперва полностью разряжайте Ni-Cd и Ni-Mh, а лишь затем подключайте зарядное устройство. Так вы избежите «эффекта памяти» и всегда будете получать полностью работоспособное оборудование после зарядки.<br/><br/>1. Не избавляться от аккумулятора в огне, не помещать аккумулятор в зарядное устройство или оборудование с неправильно подключенными клеммами.<br/><br/>2. Избегайте коротких замыканий батареи. Избегайте чрезмерного физического удара или вибрации, Избегайте избыточной зарядки и разрядки.<br/><br/>3. Никогда не используйте модифицированное или поврежденное зарядное устройство и не оставляйте аккумулятор в зарядном устройстве в течение 24 часов.<br/><br/>4. Храните аккумулятор в прохладном, сухом и хорошо проветриваемом помещении.<br/><br/>аккумулятор для игрушек 4.8v; аккумулятор 4.8v; аккумулятор ni-mh 4.8v 2400 mah aa row разъем sm; аккумулятор ni-mh 4.8v 2400 mah; аккумулятор 4.8v для игрушек.",7779990,0.7,0.7,0.2,0.04,Продавец,0,0,0,0,,,850.0000,11,0,0,0,46.75,50,58,58,0,25,70,70,46.75,50,70,70,18.5,19.5,19.5
"Запчасти для смарт-часов, фитнес-браслета",110049784,Miscellaneous accessories/Электропитание Access/Аккумуляторы и батарейки Access/Аккумуляторы,"Аккумуляторная батарея для Apple Watch 3 38mm (3G) A1860, A1889, A1890","Аккумулятор Ni-Mh 4.8V 2400 mAh AA Row разъем SM для радиоуправляемых игрушек.<br/><br/>Ёмкий и эффективный аккумулятор. Саморазряд примерно в 1,5—2 раза выше, чем у никель-кадмиевых аккумуляторов.<br/><br/>Главное, что вам следует знать — сперва полностью разряжайте Ni-Cd и Ni-Mh, а лишь затем подключайте зарядное устройство. Так вы избежите «эффекта памяти» и всегда будете получать полностью работоспособное оборудование после зарядки.<br/><br/>1. Не избавляться от аккумулятора в огне, не помещать аккумулятор в зарядное устройство или оборудование с неправильно подключенными клеммами.<br/><br/>2. Избегайте коротких замыканий батареи. Избегайте чрезмерного физического удара или вибрации, Избегайте избыточной зарядки и разрядки.<br/><br/>3. Никогда не используйте модифицированное или поврежденное зарядное устройство и не оставляйте аккумулятор в зарядном устройстве в течение 24 часов.<br/><br/>4. Храните аккумулятор в прохладном, сухом и хорошо проветриваемом помещении.<br/><br/>аккумулятор для игрушек 4.8v; аккумулятор 4.8v; аккумулятор ni-mh 4.8v 2400 mah aa row разъем sm; аккумулятор ni-mh 4.8v 2400 mah; аккумулятор 4.8v для игрушек.",76218,0.4,0.7,0.5,0.03,Продавец,0,0,0,0,,,735.0000,10,0,0,0,40.43,50,58,58,0,25,70,70,40.43,50,70,70,18.5,19.5,19.5
"Запчасти для смарт-часов, фитнес-браслета",110052214,Miscellaneous accessories/Электропитание Access/Аккумуляторы и батарейки Access/Аккумуляторы,"Аккумуляторная батарея для Apple Watch 4 44mm A1976, A2008","Аккумулятор Ni-Mh 4.8V 2400 mAh AA Row разъем SM для радиоуправляемых игрушек.<br/><br/>Ёмкий и эффективный аккумулятор. Саморазряд примерно в 1,5—2 раза выше, чем у никель-кадмиевых аккумуляторов.<br/><br/>Главное, что вам следует знать — сперва полностью разряжайте Ni-Cd и Ni-Mh, а лишь затем подключайте зарядное устройство. Так вы избежите «эффекта памяти» и всегда будете получать полностью работоспособное оборудование после зарядки.<br/><br/>1. Не избавляться от аккумулятора в огне, не помещать аккумулятор в зарядное устройство или оборудование с неправильно подключенными клеммами.<br/><br/>2. Избегайте коротких замыканий батареи. Избегайте чрезмерного физического удара или вибрации, Избегайте избыточной зарядки и разрядки.<br/><br/>3. Никогда не используйте модифицированное или поврежденное зарядное устройство и не оставляйте аккумулятор в зарядном устройстве в течение 24 часов.<br/><br/>4. Храните аккумулятор в прохладном, сухом и хорошо проветриваемом помещении.<br/><br/>аккумулятор для игрушек 4.8v; аккумулятор 4.8v; аккумулятор ni-mh 4.8v 2400 mah aa row разъем sm; аккумулятор ni-mh 4.8v 2400 mah; аккумулятор 4.8v для игрушек.",76223,0.4,0.7,0.5,0.03,Продавец,0,0,0,0,,,835.0000,11,0,0,0,45.93,50,58,58,0,25,70,70,45.93,50,70,70,18.5,19.5,19.5
"Запчасти для смарт-часов, фитнес-браслета",110052215,Miscellaneous accessories/Электропитание Access/Аккумуляторы и батарейки Access/Аккумуляторы,"Аккумуляторная батарея для Apple Watch 3 42mm (3G) A1861, A1891, A1892","Аккумулятор Ni-Mh 4.8V 2400 mAh AA Row разъем SM для радиоуправляемых игрушек.<br/><br/>Ёмкий и эффективный аккумулятор. Саморазряд примерно в 1,5—2 раза выше, чем у никель-кадмиевых аккумуляторов.<br/><br/>Главное, что вам следует знать — сперва полностью разряжайте Ni-Cd и Ni-Mh, а лишь затем подключайте зарядное устройство. Так вы избежите «эффекта памяти» и всегда будете получать полностью работоспособное оборудование после зарядки.<br/><br/>1. Не избавляться от аккумулятора в огне, не помещать аккумулятор в зарядное устройство или оборудование с неправильно подключенными клеммами.<br/><br/>2. Избегайте коротких замыканий батареи. Избегайте чрезмерного физического удара или вибрации, Избегайте избыточной зарядки и разрядки.<br/><br/>3. Никогда не используйте модифицированное или поврежденное зарядное устройство и не оставляйте аккумулятор в зарядном устройстве в течение 24 часов.<br/><br/>4. Храните аккумулятор в прохладном, сухом и хорошо проветриваемом помещении.<br/><br/>аккумулятор для игрушек 4.8v; аккумулятор 4.8v; аккумулятор ni-mh 4.8v 2400 mah aa row разъем sm; аккумулятор ni-mh 4.8v 2400 mah; аккумулятор 4.8v для игрушек.",76220,0.4,0.7,0.5,0.03,Продавец,0,0,0,0,,,470.0000,6,0,0,0,25.85,50,58,58,0,25,70,70,25.85,50,70,70,18.5,19.5,19.5
"Запчасти для смарт-часов, фитнес-браслета",110052216,Miscellaneous accessories/Электропитание Access/Аккумуляторы и батарейки Access/Аккумуляторы,"Аккумуляторная батарея для Apple Watch 4 40mm A1975, A2007","Аккумулятор Ni-Mh 4.8V 2400 mAh AA Row разъем SM для радиоуправляемых игрушек.<br/><br/>Ёмкий и эффективный аккумулятор. Саморазряд примерно в 1,5—2 раза выше, чем у никель-кадмиевых аккумуляторов.<br/><br/>Главное, что вам следует знать — сперва полностью разряжайте Ni-Cd и Ni-Mh, а лишь затем подключайте зарядное устройство. Так вы избежите «эффекта памяти» и всегда будете получать полностью работоспособное оборудование после зарядки.<br/><br/>1. Не избавляться от аккумулятора в огне, не помещать аккумулятор в зарядное устройство или оборудование с неправильно подключенными клеммами.<br/><br/>2. Избегайте коротких замыканий батареи. Избегайте чрезмерного физического удара или вибрации, Избегайте избыточной зарядки и разрядки.<br/><br/>3. Никогда не используйте модифицированное или поврежденное зарядное устройство и не оставляйте аккумулятор в зарядном устройстве в течение 24 часов.<br/><br/>4. Храните аккумулятор в прохладном, сухом и хорошо проветриваемом помещении.<br/><br/>аккумулятор для игрушек 4.8v; аккумулятор 4.8v; аккумулятор ni-mh 4.8v 2400 mah aa row разъем sm; аккумулятор ni-mh 4.8v 2400 mah; аккумулятор 4.8v для игрушек.",76222,0.4,0.7,0.5,0.03,Продавец,0,0,0,0,,,754.0000,10,0,0,0,41.47,50,58,58,0,25,70,70,41.47,50,70,70,18.5,19.5,19.5
"Запчасти для смарт-часов, фитнес-браслета",110052217,Miscellaneous accessories/Электропитание Access/Аккумуляторы и батарейки Access/Аккумуляторы,Аккумуляторная батарея для Apple Watch 3 38mm (GPS) A1858,"Аккумулятор Ni-Mh 4.8V 2400 mAh AA Row разъем SM для радиоуправляемых игрушек.<br/><br/>Ёмкий и эффективный аккумулятор. Саморазряд примерно в 1,5—2 раза выше, чем у никель-кадмиевых аккумуляторов.<br/><br/>Главное, что вам следует знать — сперва полностью разряжайте Ni-Cd и Ni-Mh, а лишь затем подключайте зарядное устройство. Так вы избежите «эффекта памяти» и всегда будете получать полностью работоспособное оборудование после зарядки.<br/><br/>1. Не избавляться от аккумулятора в огне, не помещать аккумулятор в зарядное устройство или оборудование с неправильно подключенными клеммами.<br/><br/>2. Избегайте коротких замыканий батареи. Избегайте чрезмерного физического удара или вибрации, Избегайте избыточной зарядки и разрядки.<br/><br/>3. Никогда не используйте модифицированное или поврежденное зарядное устройство и не оставляйте аккумулятор в зарядном устройстве в течение 24 часов.<br/><br/>4. Храните аккумулятор в прохладном, сухом и хорошо проветриваемом помещении.<br/><br/>аккумулятор для игрушек 4.8v; аккумулятор 4.8v; аккумулятор ni-mh 4.8v 2400 mah aa row разъем sm; аккумулятор ni-mh 4.8v 2400 mah; аккумулятор 4.8v для игрушек.",76219,0.4,0.7,0.5,0.03,Продавец,0,0,0,0,,,756.0000,10,0,0,0,41.58,50,58,58,0,25,70,70,41.58,50,70,70,18.5,19.5,19.5
"Запчасти для смарт-часов, фитнес-браслета",110052218,Miscellaneous accessories/Электропитание Access/Аккумуляторы и батарейки Access/Аккумуляторы,Аккумуляторная батарея для Apple Watch 3 42mm (GPS) A1859,"Аккумулятор Ni-Mh 4.8V 2400 mAh AA Row разъем SM для радиоуправляемых игрушек.<br/><br/>Ёмкий и эффективный аккумулятор. Саморазряд примерно в 1,5—2 раза выше, чем у никель-кадмиевых аккумуляторов.<br/><br/>Главное, что вам следует знать — сперва полностью разряжайте Ni-Cd и Ni-Mh, а лишь затем подключайте зарядное устройство. Так вы избежите «эффекта памяти» и всегда будете получать полностью работоспособное оборудование после зарядки.<br/><br/>1. Не избавляться от аккумулятора в огне, не помещать аккумулятор в зарядное устройство или оборудование с неправильно подключенными клеммами.<br/><br/>2. Избегайте коротких замыканий батареи. Избегайте чрезмерного физического удара или вибрации, Избегайте избыточной зарядки и разрядки.<br/><br/>3. Никогда не используйте модифицированное или поврежденное зарядное устройство и не оставляйте аккумулятор в зарядном устройстве в течение 24 часов.<br/><br/>4. Храните аккумулятор в прохладном, сухом и хорошо проветриваемом помещении.<br/><br/>аккумулятор для игрушек 4.8v; аккумулятор 4.8v; аккумулятор ni-mh 4.8v 2400 mah aa row разъем sm; аккумулятор ni-mh 4.8v 2400 mah; аккумулятор 4.8v для игрушек.",76221,0.4,0.7,0.5,0.03,Продавец,0,0,0,0,,,756.0000,10,0,0,0,41.58,50,58,58,0,25,70,70,41.58,50,70,70,18.5,19.5,19.5
Фискальный накопитель,112964702,Laptops & Computers/Компьютерная офисная техника Lap&Comp/Кассовое и складское оборудование Lap&Comp/Фискальный накопитель,Фискальный накопитель ФН 1.1М исп. Ин15 1М на 15 месяцев,"Фискальный накопитель – шифровальное (криптографическое) средство защиты фискальных данных, которое размещается в опломбированном корпусе кассы.<br/><br/>ФН записывает и хранит фискальные данные. С помощью фискального признака он подписывает данные чека, а затем передает их для отправки в ОФД. Внешне ФН очень похож на ЭКЛЗ. Он имеет схожий размер и устанавливается в тот же разъем.<br/><br/>Для компаний на ОСНО и организаций, торгующих подакцизными товарами, предусмотрен ФН-1.1. Срок его службы – 15 месяцев.",85689,0.4,0.7,0.5,0.01,Продавец,0,0,0,0,,,8510.0000,114,0,0,0,468.05,50,58,58,0,25,70,70,468.05,50,70,70,14.5,15.5,15.5
Аккумуляторы,117881477,Miscellaneous accessories/Электропитание Access/Аккумуляторы и батарейки Access/Аккумуляторы,Аккумулятор Li-Pol (батарея) 8.8*47*62мм 2pin 3.7V/3200mAh,"Фискальный накопитель – шифровальное (криптографическое) средство защиты фискальных данных, которое размещается в опломбированном корпусе кассы.<br/><br/>ФН записывает и хранит фискальные данные. С помощью фискального признака он подписывает данные чека, а затем передает их для отправки в ОФД. Внешне ФН очень похож на ЭКЛЗ. Он имеет схожий размер и устанавливается в тот же разъем.<br/><br/>Для компаний на ОСНО и организаций, торгующих подакцизными товарами, предусмотрен ФН-1.1. Срок его службы – 15 месяцев.",79676,0.7,0.7,0.2,0.03,Продавец,0,0,0,0,FBS,,684.0000,9,0,0,0,37.62,50,58,58,0,25,70,70,37.62,50,70,70,18.5,19.5,19.5
